,entity,pred,document_id
0,PER,борис джонсон,10
1,PER,международный валютный фонд,10
2,PER,европейский парламент,10
3,PER,австрийский канцлер,10
4,PER,себастьян курц,10
5,PER,тереза мэй,10
6,PER,мэй ( как глава правительство ),10
7,PER,"глава правительство альбион ( возможно , тереза мэй )",10
8,PER,британский парламент,10
9,PER,лейбористский партия,10
10,ORG,партия тори,10
11,ORG,бывший министр иностранный дело британия,10
12,ORG,единый европа,10
13,ORG,еврокомиссия,10
14,ORG,кабинет министр,10
15,ORG,великобритания,10
16,ORG,оппозиционный британский лейборист,10
17,ORG,международной валютный фонд,10
18,ORG,евросоюз,10
19,ORG,консервативный партия,10
20,ORG,мид великобритания,10
21,EVT,отставка борис джонсон,10
22,EVT,прогноз эксперт,10
23,EVT,навязывание бой тереза мэй,10
24,EVT,саммит евросоюз,10
25,EVT,выход из состав евросоюз,10
26,EVT,процедура brexit,10
27,EVT,утверждение сделка с евросоюз,10
28,EVT,доклад борис джонсон,10
29,EVT,"переговоры по "" брекзиту """,10
30,PRO,экстренный закон в область регулирование финансовый рынок,10
31,PRO,"вариант "" брекзита """,10
32,PRO,торговый договор с единый европа,10
33,PRO,"компромисс , предложить мэй",10
34,PRO,таможенный союз единый европа,10
35,PRO,брекзит,10
36,PRO,предстоящий конференция партия тори,10
37,PRO,план джонсон,10
38,PRO,шантаж,10
39,PRO,соглашение с евросоюз,10
40,PRO,закон ес,10
41,EVT,заявление даунинг - стрит о благодарность джонсон за работа,1003
42,EVT,обсуждение деталь план выход великобритания из ес,1003
43,EVT,принятие отставка борис джонсон премьер - министр тереза мэй,1003
44,EVT,назначение преемник борис джонсон,1003
45,EVT,уход борис джонсон в отставка с пост глава мид великобритания,1003
46,PRO,борис джонсон,1003
47,PRO,дэвид дэвис,1003
48,PRO,план выход великобритания из евросоюз,1003
49,PRO,министерство иностранный дело великобритания,1003
50,PRO,тереза мэй,1003
51,ORG,великобритания,1003
52,PER,борис джонсон,1002
53,PER,тереза мей,1002
54,PER,дэвид дэвис,1002
55,ORG,мид великобритания,1002
56,ORG,великобритания,1002
57,PER,борис джонсон,1017
58,ORG,мид великобритания,1017
59,EVT,объявление об отставка,1017
60,EVT,уход в отставка,1017
61,EVT,принятие отставка,1017
62,EVT,отставка,1017
63,PER,борис джонсон,1001
64,ORG,мид великобритания,1001
65,EVT,принятие отставка,1001
66,EVT,отставка,1001
67,PRO,зона свободный торговля,1001
68,PRO,план мэй по brexit,1001
69,PRO,позиция тереза мэй,1001
70,PRO,тереза мэй,1001
71,EVT,отставка борис джонсон,1011
72,EVT,выступление тереза мэй в палата община,1011
73,EVT,отставка дэвид дэвис,1011
74,EVT,отставка тереза мэй,1011
75,EVT,голосование по стратегия выход великобритания из ес,1011
76,PRO,борис джонсон,1011
77,PRO,стратегия выход великобритания из ес,1011
78,PRO,дэвид дэвис,1011
79,PRO,тереза мэй,1011
80,ORG,правительство великобритания,1011
81,ORG,кабинет министр великобритания,1011
82,ORG,палата община,1011
83,ORG,мид великобритания,1011
84,ORG,европейский союз,1011
85,PER,борис джонсон,1000
86,PER,дэвид дэвис,1000
87,PER,стив бейкер,1000
88,ORG,мид великобритания,1000
89,EVT,уход с пост,1000
90,EVT,объявление об отставка,1000
91,EVT,отставка,1000
92,EVT,обсуждение об условие выход великобритания из ес,1006
93,EVT,уход борис джонсон в отставка,1006
94,EVT,заявление мария захаров,1006
95,EVT,комментарий мария захаров,1006
96,EVT,финальный предложение захаров,1006
97,EVT,слово мария захаров,1006
98,EVT,упоминание борис джонсон,1006
99,EVT,приписывание слово мария захаров,1006
100,EVT,многокомпонентный интрига,1006
101,EVT,заявление захаров о brexit,1006
102,EVT,политический позиция,1006
103,EVT,обсуждение контур правительственный кризис,1006
104,EVT,протест против условие brexit,1006
105,EVT,плачевный конец для правительство тереза мэй,1006
106,EVT,отставка борис джонсон,1006
107,EVT,отказ остаться в правительство,1006
108,EVT,"завершение на слово "" позора """,1006
109,EVT,условие brexit,1006
110,EVT,грязный многокомпонентный интрига,1006
111,EVT,правительство тереза мэй,1006
112,EVT,высказывание захаров о политика,1006
113,EVT,правительственный кризис,1006
114,PRO,премьер - министр великобритания тереза мэй,1006
115,PRO,официальный представитель мид россия мария захаров,1006
116,PRO,британский король политический эксцентрика,1006
117,PRO,министр иностранный дело великобритания борис джонсон,1006
118,PRO,кабинет мэй,1006
119,PRO,правило и условие brexit,1006
120,PER,борис джонсон,1004
121,PER,дэвид дэвис,1004
122,ORG,мид великобритания,1004
123,ORG,великобритания,1004
124,EVT,отставка борис джонсон,1004
125,EVT,назначение новый министр,1004
126,EVT,пресс - конференция с участие борис джонсон,1004
127,EVT,отставка дэвид дэвис,1004
128,EVT,заявление тереза мэй,1004
